일자,평균
2019년 8월 19일,104038
2019년 8월 1일,103818
2019년 8월 20일,105095
2019년 8월 21일,103369
2019년 8월 22일,103017
2019년 8월 23일,112063
2019년 8월 24일,106818
2019년 8월 25일,92840
2019년 8월 26일,107800
2019년 8월 27일,101153
2019년 8월 28일,102514
2019년 8월 29일,102175
2019년 8월 2일,106849
2019년 8월 30일,111069
2019년 8월 31일,105067
2019년 8월 3일,100751
2019년 8월 4일,88721
2019년 8월 5일,104841
2019년 8월 6일,103886
2019년 8월 7일,105061
2019년 8월 8일,105497
2019년 8월 9일,99876
2019년 9월 10일,111222
2019년 9월 11일,108874
2019년 9월 12일,83219
2019년 9월 13일,87124
2019년 9월 14일,82693
2019년 9월 15일,87005
2019년 9월 16일,105243
2019년 9월 17일,106441
2019년 9월 18일,106001
2019년 9월 19일,104510
2019년 9월 1일,90506
2019년 9월 20일,108178
2019년 9월 21일,98384
2019년 9월 22일,76040
2019년 9월 23일,103363
2019년 9월 24일,105133
2019년 9월 25일,104868
2019년 9월 26일,104461
2019년 9월 27일,108934
2019년 9월 28일,102568
2019년 9월 29일,91185
2019년 9월 2일,103503
2019년 9월 30일,104850
2019년 9월 3일,101388
2019년 9월 4일,101911
2019년 9월 5일,100921
2019년 9월 6일,108262
2019년 9월 7일,94697
2019년 9월 8일,88109
2019년 9월 9일,101725
2020-06-23 00:00:00,363
2020년 10월 10일,90125
2020년 10월 11일,63628
2020년 10월 12일,81828
2020년 10월 13일,82758
2020년 10월 14일,94533
2020년 10월 15일,95880
2020년 10월 16일,98202
2020년 10월 17일,94129
2020년 10월 18일,47106
2020년 10월 19일,62773
2020년 10월 1일,73429
2020년 10월 20일,90561
2020년 10월 21일,98145
2020년 10월 22일,98125
2020년 10월 23일,104398
2020년 10월 24일,96022
2020년 10월 25일,79487
2020년 10월 26일,96747
2020년 10월 27일,96276
2020년 10월 28일,98961
2020년 10월 29일,100265
2020년 10월 2일,73618
2020년 10월 30일,104483
2020년 10월 31일,99144
2020년 10월 3일,76043
2020년 10월 4일,61372
2020년 10월 5일,82985
2020년 10월 6일,78029
2020년 10월 7일,95732
2020년 10월 8일,99132
2020년 10월 9일,86529
2020년 11월 10일,99023
2020년 11월 11일,102099
2020년 11월 12일,101218
2020년 11월 13일,104395
2020년 11월 14일,98618
2020년 11월 15일,82489
2020년 11월 16일,95521
2020년 11월 17일,95812
2020년 11월 18일,97751
2020년 11월 19일,95494
2020년 11월 1일,78261
2020년 11월 20일,101675
2020년 11월 21일,96232
2020년 11월 22일,76539
2020년 11월 23일,97020
2020년 11월 24일,95706
2020년 11월 25일,98965
2020년 11월 26일,96701
2020년 11월 27일,97703
2020년 11월 28일,92674
2020년 11월 29일,72594
2020년 11월 2일,95838
2020년 11월 30일,91465
2020년 11월 3일,96480
2020년 11월 4일,99251
2020년 11월 5일,99578
2020년 11월 6일,102837
2020년 11월 7일,97720
2020년 11월 8일,54029
2020년 11월 9일,78147
2020년 12월 10일,93403
2020년 12월 11일,97467
2020년 12월 12일,88335
2020년 12월 13일,64712
2020년 12월 14일,90476
2020년 12월 15일,90217
2020년 12월 16일,93453
2020년 12월 17일,93511
2020년 12월 18일,95918
2020년 12월 19일,87297
2020년 12월 1일,92549
2020년 12월 20일,66868
2020년 12월 21일,91837
2020년 12월 22일,88234
2020년 12월 23일,94451
2020년 12월 24일,98403
2020년 12월 25일,71032
2020년 12월 26일,77677
2020년 12월 27일,59685
2020년 12월 28일,89388
2020년 12월 29일,87544
2020년 12월 2일,95248
2020년 12월 30일,90358
2020년 12월 31일,94355
2020년 12월 3일,95278
2020년 12월 4일,99647
2020년 12월 5일,89081
2020년 12월 6일,70475
2020년 12월 7일,91757
2020년 12월 8일,92201
2020년 12월 9일,94953
2020년 1월 10일,107519
2020년 1월 11일,103841
2020년 1월 12일,64902
2020년 1월 13일,75471
2020년 1월 14일,77323
2020년 1월 15일,105531
2020년 1월 16일,104264
2020년 1월 17일,108127
2020년 1월 18일,104434
2020년 1월 19일,64300
2020년 1월 1일,59528
2020년 1월 20일,77382
2020년 1월 21일,80473
2020년 1월 22일,105240
2020년 1월 23일,108478
2020년 1월 24일,89829
2020년 1월 25일,87655
2020년 1월 26일,62426
2020년 1월 27일,58259
2020년 1월 28일,75171
2020년 1월 29일,101839
2020년 1월 2일,72035
2020년 1월 30일,101366
