,PM2.5,PM10,교통량합계,평균기온,일강수량,평균풍속,TPM2.5,TPM10,BPM2.5,BPM10,JPM2.5,JPM10
864,7.0,14.0,88497.0,16.9,0.0,1.1,19,47,23,51,32,82
865,15.0,28.0,103471.0,15.0,0.0,1.0,19,36,9,21,13,39
866,11.0,20.0,104280.0,14.2,0.0,1.0,42,60,16,32,25,64
867,13.0,22.0,102163.0,14.5,0.0,0.6,51,66,28,44,52,111
868,21.0,31.0,104913.0,14.9,0.0,0.9,77,58,54,53,69,127
869,9.0,19.0,107648.0,16.4,0.0,0.9,115,78,60,46,97,164
870,9.0,16.0,107876.0,16.8,0.0,0.6,145,103,124,86,90,145
871,16.0,23.0,91611.0,15.6,0.0,0.3,103,147,79,121,64,118
872,18.0,23.0,100577.0,15.8,0.0,0.6,26,102,17,54,86,183
873,9.0,11.0,100922.0,16.9,0.0,0.7,40,104,44,98,61,133
874,11.0,19.0,97458.0,16.8,0.0,0.8,114,150,78,120,57,102
875,12.0,21.0,99456.0,18.9,0.0,1.4,72,66,67,84,79,141
876,14.0,23.0,99744.0,17.6,0.0,0.9,12,26,8,20,10,37
877,14.0,26.0,108414.0,13.2,0.0,1.6,39,68,30,54,24,63
878,15.0,26.0,91185.0,11.2,0.0,0.8,76,117,53,80,48,102
879,19.0,32.0,96192.0,12.0,0.0,0.9,40,167,26,175,52,218
880,16.0,68.0,93243.0,14.6,0.5,1.5,33,105,32,85,42,174
881,15.0,28.0,91234.0,11.5,0.0,0.6,84,240,54,114,73,267
882,20.0,48.0,101350.0,13.1,0.0,0.9,63,140,36,84,77,204
883,41.0,112.0,106270.0,15.4,0.0,0.6,27,68,25,68,96,208
884,38.0,80.0,105594.0,13.7,0.0,0.2,32,74,29,49,86,193
885,38.0,72.0,92113.0,14.6,0.0,0.6,38,76,33,48,59,101
886,14.0,27.0,104239.0,13.7,0.0,0.5,60,92,48,57,34,79
887,25.0,40.0,103758.0,12.2,0.0,0.7,47,70,42,57,59,112
888,24.0,44.0,104181.0,11.9,0.0,0.8,44,74,46,71,92,163
889,21.0,46.0,103834.0,11.2,0.0,1.0,21,49,24,47,65,128
890,22.0,50.0,109807.0,7.2,0.0,0.6,63,98,39,73,77,143
891,25.0,50.0,105347.0,8.2,0.0,0.4,157,157,84,94,119,193
892,24.0,43.0,87165.0,9.3,9.5,0.7,42,79,31,84,54,131
893,13.0,30.0,103571.0,12.8,0.5,1.8,23,64,17,53,38,118
894,19.0,43.0,104027.0,9.8,0.0,0.3,62,117,50,92,64,161
895,19.0,41.0,92279.0,9.0,2.0,1.0,20,73,9,59,42,159
896,9.0,31.0,103168.0,3.2,0.0,1.8,36,101,25,57,33,118
897,11.0,41.0,92190.0,9.9,0.0,1.8,35,78,35,78,69,154
898,23.0,54.0,103950.0,13.1,1.5,0.9,32,52,47,80,129,209
899,28.0,48.0,84808.0,10.1,47.5,0.4,53,170,52,188,78,127
900,14.0,70.0,98030.0,8.2,16.5,2.1,20,103,19,98,40,220
901,10.0,33.0,91946.0,3.0,0.0,1.3,25,76,20,62,58,194
902,15.0,41.0,87813.0,2.6,0.0,0.4,70,170,61,124,58,151
903,26.0,59.0,103351.0,4.6,0.0,0.4,115,182,90,158,40,97
904,22.0,53.0,98385.0,9.8,0.0,0.5,114,140,138,181,46,89
905,19.0,43.0,94055.0,11.3,0.0,0.3,119,125,132,137,69,112
906,17.0,31.0,89756.0,13.1,0.0,1.0,19,34,7,30,47,83
907,16.0,36.0,97701.0,4.1,0.0,1.6,14,30,13,30,21,50
908,21.0,47.0,102402.0,8.1,0.0,0.4,43,74,38,72,53,98
909,22.0,50.0,103005.0,6.3,0.0,1.4,28,64,7,21,51,96
910,27.0,57.0,97653.0,5.3,0.0,0.8,27,50,39,69,27,57
